소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSDAQ,'051490,나라엠앤디,4550,646,30.13,2.8,1022,1139,2161,1114,https://finance.naver.com/item/main.nhn?code=051490
KOSDAQ,'053160,프리엠스,5600,336,29.47,2.66,1009,1152,2161,1115,https://finance.naver.com/item/main.nhn?code=053160
KOSDAQ,'217820,엔에스,9930,487,48.92,4.21,1161,1003,2164,1116,https://finance.naver.com/item/main.nhn?code=217820
KOSDAQ,'218410,RFHIC,25300,5679,90.36,5.41,1267,899,2166,1117,https://finance.naver.com/item/main.nhn?code=218410
KOSDAQ,'263800,데이타솔루션,2745,431,41.59,3.77,1122,1045,2167,1118,https://finance.naver.com/item/main.nhn?code=263800
KOSPI,'042700,한미반도체,8290,4744,55.64,4.57,1191,978,2169,1119,https://finance.naver.com/item/main.nhn?code=042700
KOSDAQ,'091120,이엠텍,17150,2607,46.1,3.98,1149,1023,2172,1120,https://finance.naver.com/item/main.nhn?code=091120
KOSDAQ,'032540,TJ미디어,3150,439,26.25,2.07,979,1195,2174,1121,https://finance.naver.com/item/main.nhn?code=032540
KOSDAQ,'100030,모바일리더,9650,317,34.59,3.09,1064,1111,2175,1122,https://finance.naver.com/item/main.nhn?code=100030
KOSPI,'021050,서원,1050,498,26.92,2.09,984,1192,2176,1123,https://finance.naver.com/item/main.nhn?code=021050
KOSDAQ,'036420,제이콘텐트리,4970,7160,93.77,5.31,1270,910,2180,1124,https://finance.naver.com/item/main.nhn?code=036420
KOSDAQ,'220260,켐트로스,2485,598,54.02,4.29,1184,999,2183,1125,https://finance.naver.com/item/main.nhn?code=220260
KOSDAQ,'111870,삼본정밀전자,4010,1827,52.76,4.11,1174,1011,2185,1126,https://finance.naver.com/item/main.nhn?code=111870
KOSDAQ,'033560,블루콤,4120,745,25.12,1.86,963,1222,2185,1127,https://finance.naver.com/item/main.nhn?code=033560
KOSDAQ,'067990,도이치모터스,5560,1460,39.71,3.48,1110,1077,2187,1128,https://finance.naver.com/item/main.nhn?code=067990
KOSPI,'005110,한창,1765,608,43.05,3.63,1130,1060,2190,1129,https://finance.naver.com/item/main.nhn?code=005110
KOSDAQ,'039290,인포뱅크,7130,620,37.72,3.22,1092,1098,2190,1130,https://finance.naver.com/item/main.nhn?code=039290
KOSPI,'010640,진양폴리,1915,192,35.46,2.99,1073,1118,2191,1131,https://finance.naver.com/item/main.nhn?code=010640
KOSDAQ,'063170,서울옥션,11100,1878,60.33,4.39,1201,992,2193,1132,https://finance.naver.com/item/main.nhn?code=063170
KOSDAQ,'143240,사람인에이치알,19400,2257,66.21,4.56,1215,979,2194,1133,https://finance.naver.com/item/main.nhn?code=143240
KOSDAQ,'066410,아컴스튜디오,610,410,46.92,3.78,1151,1043,2194,1134,https://finance.naver.com/item/main.nhn?code=066410
KOSDAQ,'171120,라이온켐텍,10300,1585,41.87,3.54,1123,1073,2196,1135,https://finance.naver.com/item/main.nhn?code=171120
KOSDAQ,'201490,미투온,6270,1960,76.46,4.93,1248,950,2198,1136,https://finance.naver.com/item/main.nhn?code=201490
KOSPI,'033180,필룩스,12450,6701,87.06,5.07,1264,935,2199,1137,https://finance.naver.com/item/main.nhn?code=033180
KOSPI,'083420,그린케미칼,3775,755,29.96,2.24,1018,1181,2199,1138,https://finance.naver.com/item/main.nhn?code=083420
KOSDAQ,'150900,파수닷컴,3625,346,53.31,4.01,1179,1021,2200,1139,https://finance.naver.com/item/main.nhn?code=150900
KOSDAQ,'131400,액트,3030,526,43.91,3.59,1138,1067,2205,1140,https://finance.naver.com/item/main.nhn?code=131400
KOSDAQ,'034810,해성산업,10900,1066,31.32,2.39,1036,1170,2206,1141,https://finance.naver.com/item/main.nhn?code=034810
KOSPI,'003460,유화증권,13800,1565,25.99,1.72,974,1234,2208,1142,https://finance.naver.com/item/main.nhn?code=003460
KOSDAQ,'005860,한일사료,1770,697,36.88,2.92,1084,1127,2211,1143,https://finance.naver.com/item/main.nhn?code=005860
KOSPI,'001520,동양,1925,4595,28.31,1.9,998,1215,2213,1144,https://finance.naver.com/item/main.nhn?code=001520
KOSPI,'025750,한솔홈데코,1405,1132,31.93,2.4,1045,1169,2214,1145,https://finance.naver.com/item/main.nhn?code=025750
KOSPI,'005010,휴스틸,11650,878,21.86,0.97,904,1310,2214,1146,https://finance.naver.com/item/main.nhn?code=005010
KOSDAQ,'030960,양지사,9010,1440,55.28,3.95,1190,1026,2216,1147,https://finance.naver.com/item/main.nhn?code=030960
KOSPI,'003000,부광약품,26700,13048,117.62,5.21,1294,923,2217,1148,https://finance.naver.com/item/main.nhn?code=003000
