소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSDAQ,'160600,에스엔텍,5960,701,101.02,1.98,1278,1208,2486,1272,https://finance.naver.com/item/main.nhn?code=160600
KOSDAQ,'149980,하이로닉,5270,743,97.59,1.85,1273,1224,2497,1273,https://finance.naver.com/item/main.nhn?code=149980
KOSDAQ,'043090,팜스웰바이오,4840,1294,345.71,2.56,1338,1161,2499,1274,https://finance.naver.com/item/main.nhn?code=043090
KOSDAQ,'198440,고려시멘트,2520,806,76.36,1.43,1246,1264,2510,1275,https://finance.naver.com/item/main.nhn?code=198440
KOSPI,'000500,가온전선,17900,745,53.27,0.54,1178,1332,2510,1276,https://finance.naver.com/item/main.nhn?code=000500
KOSPI,'181710,NHN엔터테인먼트,56900,11132,67.02,1.12,1217,1294,2511,1277,https://finance.naver.com/item/main.nhn?code=181710
KOSDAQ,'083640,인콘,1575,1989,196.88,2.08,1321,1194,2515,1278,https://finance.naver.com/item/main.nhn?code=083640
KOSDAQ,'025870,신라에스지,4860,194,82.37,1.47,1256,1259,2515,1279,https://finance.naver.com/item/main.nhn?code=025870
KOSDAQ,'033050,제이엠아이,1095,357,68.44,1.1,1221,1297,2518,1280,https://finance.naver.com/item/main.nhn?code=033050
KOSDAQ,'196300,애니젠,14500,727,159.34,1.91,1308,1214,2522,1281,https://finance.naver.com/item/main.nhn?code=196300
KOSDAQ,'177830,파버나인,5260,570,78.51,1.38,1251,1273,2524,1282,https://finance.naver.com/item/main.nhn?code=177830
KOSDAQ,'064820,케이프,2060,526,57.22,0.57,1194,1330,2524,1283,https://finance.naver.com/item/main.nhn?code=064820
KOSPI,'013000,세우글로벌,1530,362,80.53,1.39,1254,1271,2525,1284,https://finance.naver.com/item/main.nhn?code=013000
KOSPI,'032350,롯데관광개발,13450,8684,200.75,2.0,1323,1203,2526,1285,https://finance.naver.com/item/main.nhn?code=032350
KOSPI,'016880,웅진,2210,1606,63.14,0.72,1208,1321,2529,1286,https://finance.naver.com/item/main.nhn?code=016880
KOSPI,'049800,우진플라임,5020,502,67.84,0.92,1219,1311,2530,1287,https://finance.naver.com/item/main.nhn?code=049800
KOSDAQ,'144510,녹십자랩셀,49650,5240,496.5,2.19,1345,1187,2532,1288,https://finance.naver.com/item/main.nhn?code=144510
KOSDAQ,'067390,아스트,11000,1729,111.11,1.65,1290,1242,2532,1289,https://finance.naver.com/item/main.nhn?code=067390
KOSPI,'004310,현대약품,5220,1670,102.35,1.49,1279,1257,2536,1290,https://finance.naver.com/item/main.nhn?code=004310
KOSPI,'006980,우성사료,2510,776,66.05,0.71,1214,1323,2537,1291,https://finance.naver.com/item/main.nhn?code=006980
KOSPI,'002900,동양물산,1755,1148,76.3,1.13,1245,1293,2538,1292,https://finance.naver.com/item/main.nhn?code=002900
KOSPI,'133820,화인베스틸,2570,759,75.59,1.09,1241,1299,2540,1293,https://finance.naver.com/item/main.nhn?code=133820
KOSDAQ,'069110,코스온,11050,2058,181.15,1.73,1313,1232,2545,1294,https://finance.naver.com/item/main.nhn?code=069110
KOSDAQ,'036630,세종텔레콤,585,3512,83.57,1.19,1259,1286,2545,1295,https://finance.naver.com/item/main.nhn?code=036630
KOSPI,'075580,세진중공업,4130,1585,84.29,1.18,1260,1288,2548,1296,https://finance.naver.com/item/main.nhn?code=075580
KOSPI,'101060,SBS미디어홀딩스,2335,3267,68.68,0.7,1222,1326,2548,1297,https://finance.naver.com/item/main.nhn?code=101060
KOSPI,'002380,KCC,281000,29664,71.0,0.71,1228,1324,2552,1298,https://finance.naver.com/item/main.nhn?code=002380
KOSPI,'008110,대동전자,3445,361,67.55,0.44,1218,1337,2555,1299,https://finance.naver.com/item/main.nhn?code=008110
KOSPI,'010660,화천기계,18400,405,69.43,0.47,1224,1333,2557,1300,https://finance.naver.com/item/main.nhn?code=010660
KOSDAQ,'044780,에이치케이,1340,247,74.44,0.72,1237,1322,2559,1301,https://finance.naver.com/item/main.nhn?code=044780
KOSDAQ,'050540,한국코퍼레이션,2915,767,182.19,1.62,1314,1246,2560,1302,https://finance.naver.com/item/main.nhn?code=050540
KOSDAQ,'214270,퓨쳐스트림네트웍스,1375,1208,171.88,1.59,1312,1249,2561,1303,https://finance.naver.com/item/main.nhn?code=214270
KOSPI,'000120,CJ대한통운,149000,33990,107.97,1.34,1286,1275,2561,1304,https://finance.naver.com/item/main.nhn?code=000120
KOSPI,'163560,동일고무벨트,6280,816,74.76,0.62,1238,1329,2567,1305,https://finance.naver.com/item/main.nhn?code=163560
KOSDAQ,'181340,이즈미디어,5550,391,104.72,1.19,1282,1287,2569,1306,https://finance.naver.com/item/main.nhn?code=181340
KOSDAQ,'066700,테라젠이텍스,11950,3694,271.59,1.6,1329,1248,2577,1307,https://finance.naver.com/item/main.nhn?code=066700
KOSPI,'000080,하이트진로,17450,12238,98.03,1.01,1274,1305,2579,1308,https://finance.naver.com/item/main.nhn?code=000080
KOSDAQ,'065660,안트로젠,72700,6136,765.26,1.79,1351,1230,2581,1309,https://finance.naver.com/item/main.nhn?code=065660
KOSPI,'092200,디아이씨,5600,1258,90.32,0.82,1266,1316,2582,1310,https://finance.naver.com/item/main.nhn?code=092200
KOSDAQ,'065560,녹원씨엔아이,9500,1354,202.13,1.46,1324,1261,2585,1311,https://finance.naver.com/item/main.nhn?code=065560
KOSDAQ,'019990,에너토크,4265,416,104.02,0.98,1281,1308,2589,1312,https://finance.naver.com/item/main.nhn?code=019990
KOSPI,'003520,영진약품,6110,11175,611.0,1.65,1349,1243,2592,1313,https://finance.naver.com/item/main.nhn?code=003520
KOSPI,'003560,IHQ,2090,3056,122.94,1.12,1297,1295,2592,1314,https://finance.naver.com/item/main.nhn?code=003560
KOSPI,'000390,삼화페인트,6650,1758,88.67,0.66,1265,1327,2592,1315,https://finance.naver.com/item/main.nhn?code=000390
KOSPI,'134790,시디즈,40950,819,265.91,1.42,1328,1268,2596,1316,https://finance.naver.com/item/main.nhn?code=134790
KOSDAQ,'031390,녹십자셀,54800,6409,898.36,1.64,1353,1244,2597,1317,https://finance.naver.com/item/main.nhn?code=031390
KOSDAQ,'027830,대성창투,1645,658,126.54,1.08,1299,1300,2599,1318,https://finance.naver.com/item/main.nhn?code=027830
KOSPI,'014990,인디에프,2180,1285,167.69,1.16,1311,1290,2601,1319,https://finance.naver.com/item/main.nhn?code=014990
KOSPI,'003120,일성신약,109500,2913,110.83,0.82,1289,1317,2606,1320,https://finance.naver.com/item/main.nhn?code=003120
KOSDAQ,'082920,비츠로셀,12050,2361,191.27,1.15,1317,1291,2608,1321,https://finance.naver.com/item/main.nhn?code=082920
KOSDAQ,'041510,에스엠,55900,12865,280.9,1.29,1330,1280,2610,1322,https://finance.naver.com/item/main.nhn?code=041510
KOSDAQ,'032860,GMR 머티리얼즈,646,436,161.5,1.08,1309,1301,2610,1323,https://finance.naver.com/item/main.nhn?code=032860
KOSPI,'004830,덕성,3470,544,111.94,0.8,1291,1319,2610,1324,https://finance.naver.com/item/main.nhn?code=004830
KOSPI,'092220,KEC,988,1111,98.8,0.45,1276,1336,2612,1325,https://finance.naver.com/item/main.nhn?code=092220
KOSPI,'006340,대원전선,1550,1056,155.0,0.85,1305,1313,2618,1326,https://finance.naver.com/item/main.nhn?code=006340
KOSDAQ,'074430,아미노로직스,1880,1651,313.33,1.21,1335,1285,2620,1327,https://finance.naver.com/item/main.nhn?code=074430
KOSPI,'003920,남양유업,648000,4666,114.43,0.56,1292,1331,2623,1328,https://finance.naver.com/item/main.nhn?code=003920
KOSPI,'019170,신풍제약,7340,3889,193.16,0.98,1318,1309,2627,1329,https://finance.naver.com/item/main.nhn?code=019170
KOSDAQ,'007390,네이처셀,13050,6924,1305.0,1.35,1354,1274,2628,1330,https://finance.naver.com/item/main.nhn?code=007390
KOSDAQ,'105740,디케이락,8450,696,136.29,0.63,1302,1328,2630,1331,https://finance.naver.com/item/main.nhn?code=105740
KOSPI,'008600,윌비스,1145,653,114.5,0.42,1293,1338,2631,1332,https://finance.naver.com/item/main.nhn?code=008600
KOSDAQ,'123860,아나패스,18900,1914,282.09,0.89,1332,1312,2644,1333,https://finance.naver.com/item/main.nhn?code=123860
KOSPI,'004410,서울식품,197,665,197.0,0.71,1322,1325,2647,1334,https://finance.naver.com/item/main.nhn?code=004410
KOSDAQ,'095270,웨이브일렉트로,21550,2327,567.11,1.01,1346,1306,2652,1335,https://finance.naver.com/item/main.nhn?code=095270
KOSDAQ,'025980,아난티,9350,7697,292.19,0.82,1334,1318,2652,1336,https://finance.naver.com/item/main.nhn?code=025980
KOSPI,'000230,일동홀딩스,13000,1364,194.03,0.47,1320,1334,2654,1337,https://finance.naver.com/item/main.nhn?code=000230
KOSPI,'001230,동국제강,7380,7043,157.02,0.2,1307,1351,2658,1338,https://finance.naver.com/item/main.nhn?code=001230
KOSDAQ,'031510,오스템,4665,1213,233.25,0.41,1327,1339,2666,1339,https://finance.naver.com/item/main.nhn?code=031510
KOSDAQ,'099440,스맥,3155,859,225.36,0.36,1326,1343,2669,1340,https://finance.naver.com/item/main.nhn?code=099440
KOSPI,'001380,SG충방,1735,780,216.88,0.29,1325,1346,2671,1341,https://finance.naver.com/item/main.nhn?code=001380
KOSDAQ,'005990,매일홀딩스,11250,1543,193.97,0.19,1319,1352,2671,1342,https://finance.naver.com/item/main.nhn?code=005990
KOSPI,'002420,세기상사,76700,313,329.18,0.4,1337,1340,2677,1343,https://finance.naver.com/item/main.nhn?code=002420
KOSPI,'204320,만도,29400,13805,288.24,0.34,1333,1344,2677,1344,https://finance.naver.com/item/main.nhn?code=204320
KOSDAQ,'091700,파트론,8360,4527,363.48,0.38,1340,1341,2681,1345,https://finance.naver.com/item/main.nhn?code=091700
KOSDAQ,'200710,에이디테크놀로지,12500,1157,595.24,0.47,1348,1335,2683,1346,https://finance.naver.com/item/main.nhn?code=200710
KOSDAQ,'109610,에스와이패널,5610,1400,467.5,0.37,1344,1342,2686,1347,https://finance.naver.com/item/main.nhn?code=109610
KOSPI,'017960,한국카본,7120,3130,418.82,0.24,1342,1348,2690,1348,https://finance.naver.com/item/main.nhn?code=017960
KOSDAQ,'008830,대동기어,26100,235,326.25,0.12,1336,1354,2690,1349,https://finance.naver.com/item/main.nhn?code=008830
KOSDAQ,'137950,제이씨케미칼,3460,669,432.5,0.23,1343,1349,2692,1350,https://finance.naver.com/item/main.nhn?code=137950
KOSPI,'006110,삼아알미늄,4085,449,371.36,0.12,1341,1355,2696,1351,https://finance.naver.com/item/main.nhn?code=006110
KOSPI,'007110,일신석재,1615,1251,807.5,0.34,1352,1345,2697,1352,https://finance.naver.com/item/main.nhn?code=007110
KOSDAQ,'072990,에이치시티,11100,508,584.21,0.21,1347,1350,2697,1353,https://finance.naver.com/item/main.nhn?code=072990
KOSDAQ,'008290,원풍물산,3280,1259,1640.0,0.28,1355,1347,2702,1354,https://finance.naver.com/item/main.nhn?code=008290
KOSPI,'024070,WISCOM,2745,412,686.25,0.06,1350,1357,2707,1355,https://finance.naver.com/item/main.nhn?code=024070
KOSDAQ,'208860,엔지스테크널러지,6820,640,3410.0,0.17,1357,1353,2710,1356,https://finance.naver.com/item/main.nhn?code=208860
KOSDAQ,'211270,AP위성,7000,1051,1750.0,0.08,1356,1356,2712,1357,https://finance.naver.com/item/main.nhn?code=211270
KOSDAQ,'154040,솔루에타,3850,465,3850.0,0.01,1358,1358,2716,1358,https://finance.naver.com/item/main.nhn?code=154040
